species_sci;habitat_pref;migration;diet
Amadina fasciata;intermediate;resident;Granivore
Bubalornis albirostris;intermediate;resident;Omnivore
Bubo cinerascens;forest;resident;Vertivore
Burhinus capensis;open;resident;Invertivore
Burhinus senegalensis;open;resident;Invertivore
Buteo auguralis;intermediate;resident;Vertivore
Camaroptera brachyura;forest;resident;Invertivore
Caprimulgus climacurus;intermediate;resident;Invertivore
Centropus senegalensis;forest;resident;Vertivore
Cercotrichas galactotes;forest;migrant;Invertivore
Chalcomitra senegalensis;forest;resident;Omnivore
Chloropicus goertae;forest;resident;Invertivore
Chrysococcyx caprius;forest;resident;Invertivore
Chrysococcyx klaas;forest;migrant;Invertivore
Cinnyris pulchellus;forest;resident;Nectarivore
Cisticola cantans;forest;resident;Invertivore
Cisticola juncidis;open;resident;Invertivore
Clamator levaillantii;forest;migrant;Invertivore
Coracias abyssinicus;intermediate;resident;Invertivore
Coracias naevius;intermediate;resident;Invertivore
Corvus albus;intermediate;resident;Omnivore
Cossypha niveicapilla;forest;resident;Invertivore
Crinifer piscator;forest;resident;Frugivore
Crithagra leucopygia;intermediate;resident;Granivore
Crithagra mozambica;intermediate;resident;Omnivore
Dicrurus divaricatus;forest;migrant;Invertivore
Emberiza goslingi;intermediate;resident;Granivore
Eremomela pusilla;forest;resident;Invertivore
Eremopterix leucotis;open;resident;Granivore
Estrilda troglodytes;intermediate;resident;Granivore
Euplectes franciscanus;open;resident;Granivore
Galerida cristata;open;resident;Omnivore
Galerida modesta;open;resident;Omnivore
Glaucestrilda caerulescens;intermediate;resident;Granivore
Glaucidium perlatum;intermediate;resident;Invertivore
Gymnoris dentata;intermediate;resident;Granivore
Halcyon chelicuti;forest;resident;Invertivore
Iduna opaca;forest;migrant;Invertivore
Indicator indicator;forest;resident;Invertivore
Kaupifalco monogrammicus;intermediate;resident;Invertivore
Lagonosticta senegala;intermediate;resident;Granivore
Lamprotornis caudatus;intermediate;resident;Frugivore
Lamprotornis pulcher;intermediate;resident;Frugivore
Lamprotornis sp.;intermediate;resident;Frugivore
Laniarius barbarus;forest;resident;Invertivore
Lanius corvinus;forest;resident;Invertivore
Lophoceros nasutus;forest;resident;Omnivore
Luscinia megarhynchos;forest;migrant;Invertivore
Lybius vieilloti;forest;resident;Frugivore
Malaconotus blanchoti;forest;resident;Invertivore
Merops albicollis;intermediate;migrant;Invertivore
Merops viridissimus;intermediate;resident;Invertivore
Micronisus gabar;intermediate;resident;Vertivore
Mirafra rufocinnamomea;open;resident;Omnivore
Nilaus afer;forest;resident;Invertivore
Oena capensis;intermediate;resident;Granivore
Oriolus auratus;forest;resident;Frugivore
Otus senegalensis;forest;resident;Invertivore
Passer griseus;intermediate;resident;Granivore
Phoenicurus phoenicurus;forest;migrant;Invertivore
Phylloscopus collybita;forest;migrant;Invertivore
Phylloscopus trochilus;forest;migrant;Invertivore
Ploceus sp.;intermediate;resident;Omnivore
Pogoniulus chrysoconus;forest;resident;Frugivore
Poicephalus senegalus;forest;resident;Frugivore
Prinia subflava;forest;resident;Invertivore
Prionops plumatus;forest;resident;Invertivore
Psittacula krameri;forest;resident;Frugivore
Pternistis bicalcaratus;forest;resident;Granivore
Ptilopachus petrosus;forest;resident;Granivore
Ptilopsis leucotis;forest;resident;Vertivore
Pycnonotus barbatus;forest;resident;Frugivore
Pytilia melba;forest;resident;Granivore
Spilopelia senegalensis;intermediate;resident;Granivore
Sporopipes frontalis;open;resident;Granivore
Streptopelia vinacea;intermediate;resident;Granivore
Sylvietta brachyura;forest;resident;Invertivore
Tchagra senegalus;forest;resident;Invertivore
Telophorus sulfureopectus;forest;resident;Invertivore
Tockus erythrorhynchus;forest;resident;Omnivore
Turdoides plebejus;forest;resident;Invertivore
Turdus pelios;forest;resident;Omnivore
Turtur abyssinicus;forest;resident;Granivore
Upupa epops;intermediate;migrant;Invertivore
Uraeginthus bengalus;intermediate;resident;Granivore
Vanellus tectus;open;resident;Invertivore
Vidua chalybeata;intermediate;resident;Granivore
